nct_id,title,url,condition,summary,source,crawl_query,body
NCT03470961,Observational Study to Evaluate the Safety and Efficacy of Polyclonal Antibodies in Simultaneous Pancreas Kidney Transplant Recipients,https://clinicaltrials.gov/study/NCT03470961,CKD (Chronic Kidney Disease) Stage 5T; Diabetes Mellitus; Simultaneous Pancreas Kidney Transplantation,"A single-centre, prospective, observational study to evaluate the safety and efficacy of Polyclonal Antibodies in simultaneous Pancreas Kidney Transplant recipients.",ClinicalTrials.gov,diabetes,"Observational Study to Evaluate the Safety and Efficacy of Polyclonal Antibodies in Simultaneous Pancreas Kidney Transplant Recipients. Conditions: CKD (Chronic Kidney Disease) Stage 5T; Diabetes Mellitus; Simultaneous Pancreas Kidney Transplantation. A single-centre, prospective, observational study to evaluate the safety and efficacy of Polyclonal Antibodies in simultaneous Pancreas Kidney Transplant recipients."
NCT04568486,Social Support Intervention for Older Adults With T2DM,https://clinicaltrials.gov/study/NCT04568486,Type 2 Diabetes,"This study seeks to describe and evaluate the impact of social support on self-care and clinical outcomes in rural-dwelling older adults with T2DM, test the feasibility and preliminary effectiveness of a 6-week intervention administered by community health workers targeting rural dwelling older adults with T2DM (seed) and an individual within their social support network (alter).",ClinicalTrials.gov,diabetes,"Social Support Intervention for Older Adults With T2DM. Conditions: Type 2 Diabetes. This study seeks to describe and evaluate the impact of social support on self-care and clinical outcomes in rural-dwelling older adults with T2DM, test the feasibility and preliminary effectiveness of a 6-week intervention administered by community health workers targeting rural dwelling older adults with T2DM (seed) and an individual within their social support network (alter)."
NCT05265741,Gestational Diabetes Mellitus (GDM) in Pregnant Women,https://clinicaltrials.gov/study/NCT05265741,Gestational Diabetes Mellitus; Pregnancy Complications,The purpose of the trial is to discover and predict the development of GDM of pregnant women in their first trimester.,ClinicalTrials.gov,diabetes,Gestational Diabetes Mellitus (GDM) in Pregnant Women. Conditions: Gestational Diabetes Mellitus; Pregnancy Complications. The purpose of the trial is to discover and predict the development of GDM of pregnant women in their first trimester.
NCT05764629,An Observational Study on Post-chronic Pancreatitis Diabetes Mellitus,https://clinicaltrials.gov/study/NCT05764629,Chronic Pancreatitis; Diabetes Mellitus,"To explore the risk factors influencing glycemic status, optimized treatment, and prognosis of post-chronic pancreatitis diabetes mellitus (PPDM-C).",ClinicalTrials.gov,diabetes,"An Observational Study on Post-chronic Pancreatitis Diabetes Mellitus. Conditions: Chronic Pancreatitis; Diabetes Mellitus. To explore the risk factors influencing glycemic status, optimized treatment, and prognosis of post-chronic pancreatitis diabetes mellitus (PPDM-C)."
NCT06709729,Switch of AndroidAPS to Commercially Available AID Systems,https://clinicaltrials.gov/study/NCT06709729,"Diabetes Mellitus, Type 1",The aim of the study was to investigate the switch between open-source automated insulin delivery system (OS-AID) - AndroidAPS (AAPS) and commercially available AID systems - Control-IQ (CIQ) and MiniMed 780G (780G) in extended follow-up study.,ClinicalTrials.gov,diabetes,"Switch of AndroidAPS to Commercially Available AID Systems. Conditions: Diabetes Mellitus, Type 1. The aim of the study was to investigate the switch between open-source automated insulin delivery system (OS-AID) - AndroidAPS (AAPS) and commercially available AID systems - Control-IQ (CIQ) and MiniMed 780G (780G) in extended follow-up study."
NCT05235672,Detection of LADA in a Hospital in the Mexican Southeast,https://clinicaltrials.gov/study/NCT05235672,Latent Autoimmune Diabetes,"Patients with Latent Autoimmune Diabetes in Adults (LADA) show autoantibodies that indicate an autoimmune pathogenesis. Glutamic acid decarboxylase autoantibodies (GADA) are most prevalent islet autoantibodies in European patients with LADA. In this sense, it is considered that it is sufficient to determine GADA to identify subjects with LADA from patients with T2D for research purposes. Therefore, the aim was to investigated the presence of GADA in serum of subjects with T2D and its relationship with clinical criteria, metabolic control, drug treatment, and diabetes complications to identify possible patients with LADA in a hospital in southeastern Mexico is worthwhile.

The sample was recruited at the Diabetes Clinic of the Regional Hospital of High Specialty ""Dr. Gustavo A. Rovirosa Pérez"", in the period from January 2020 to May 2021. The diagnosis was based in accordance with World Health Organization (WHO, 1999) criteria. Inclusion criteria: 1) patients previously diagnosed with T2D, 2) absence of insulin requirement for at least 6 months after diagnosis, 3) \> 30 and \< 50 years old at diabetes diagnosis, 4) BMI \< 40 kg/m2, 5) subjects who agreed to participate in the study and signed the informed consent before the interview.

Serum GADA and other biochemical concentrations were determined by an enzymatic immunoassay method (Human Anti-Glutamic Acid Decarboxylase ELISA Kit; MyBioSource).",ClinicalTrials.gov,diabetes,"Detection of LADA in a Hospital in the Mexican Southeast. Conditions: Latent Autoimmune Diabetes. Patients with Latent Autoimmune Diabetes in Adults (LADA) show autoantibodies that indicate an autoimmune pathogenesis. Glutamic acid decarboxylase autoantibodies (GADA) are most prevalent islet autoantibodies in European patients with LADA. In this sense, it is considered that it is sufficient to determine GADA to identify subjects with LADA from patients with T2D for research purposes. Therefore, the aim was to investigated the presence of GADA in serum of subjects with T2D and its relationship with clinical criteria, metabolic control, drug treatment, and diabetes complications to identify possible patients with LADA in a hospital in southeastern Mexico is worthwhile.

The sample was recruited at the Diabetes Clinic of the Regional Hospital of High Specialty ""Dr. Gustavo A. Rovirosa Pérez"", in the period from January 2020 to May 2021. The diagnosis was based in accordance with World Health Organization (WHO, 1999) criteria. Inclusion criteria: 1) patients previously diagnosed with T2D, 2) absence of insulin requirement for at least 6 months after diagnosis, 3) \> 30 and \< 50 years old at diabetes diagnosis, 4) BMI \< 40 kg/m2, 5) subjects who agreed to participate in the study and signed the informed consent before the interview.

Serum GADA and other biochemical concentrations were determined by an enzymatic immunoassay method (Human Anti-Glutamic Acid Decarboxylase ELISA Kit; MyBioSource)."
NCT06820775,EFFECTIVENESS OF A TRIPLE NUTRITIONAL INTERVENTION AND PHYSICAL IN PREDIABETIC PATIENRS,https://clinicaltrials.gov/study/NCT06820775,Diabetes,"Diabetes represents a substantial burden on health care systems. People with prediabetes IGT (impaired glucose tolerance) or IFG (impaired fasting glucose) are at high risk of developing diabetes, and up to 50% progress to diabetes within 5 years.

OBJECTIVE: To evaluate the effectiveness of a triple intervention (physical activity and ordered healthy diet) to improve glycosylated hemoglobin control in prediabetic patients.

MATERIAL AND METHODOLOGY: Randomized, open, controlled clinical trial with routine clinical practice (health advice for physical activity and healthy diet). Study population: obese or overweight patients of the OSI Araba aged 35-70 years who are in the contemplation stage.

Response assessment: Primary variable: glycosylated hemoglobin; Secondary variables: Body Mass Index (BMI) (kg/cm2); blood pressure (mm Hg); satisfaction questionnaire score; physical exercise index (IPAQ) (METs). Statistical analysis: The analysis of the main variable (change in HbA1c at 6 months between both groups) will be assessed by analysis of covariance, ANCOVA, adjusting for baseline HbA1c. Sample size: 41 patients per arm (+30% to cover losses to follow-up).",ClinicalTrials.gov,diabetes,"EFFECTIVENESS OF A TRIPLE NUTRITIONAL INTERVENTION AND PHYSICAL IN PREDIABETIC PATIENRS. Conditions: Diabetes. Diabetes represents a substantial burden on health care systems. People with prediabetes IGT (impaired glucose tolerance) or IFG (impaired fasting glucose) are at high risk of developing diabetes, and up to 50% progress to diabetes within 5 years.

OBJECTIVE: To evaluate the effectiveness of a triple intervention (physical activity and ordered healthy diet) to improve glycosylated hemoglobin control in prediabetic patients.

MATERIAL AND METHODOLOGY: Randomized, open, controlled clinical trial with routine clinical practice (health advice for physical activity and healthy diet). Study population: obese or overweight patients of the OSI Araba aged 35-70 years who are in the contemplation stage.

Response assessment: Primary variable: glycosylated hemoglobin; Secondary variables: Body Mass Index (BMI) (kg/cm2); blood pressure (mm Hg); satisfaction questionnaire score; physical exercise index (IPAQ) (METs). Statistical analysis: The analysis of the main variable (change in HbA1c at 6 months between both groups) will be assessed by analysis of covariance, ANCOVA, adjusting for baseline HbA1c. Sample size: 41 patients per arm (+30% to cover losses to follow-up)."
NCT00730275,"A Study to Assess the Pharmacokinetics, Safety and Tolerability of Sitagliptin in Adolescents (0431-081)",https://clinicaltrials.gov/study/NCT00730275,Type 2 Diabetes,"This study will assess the safety, tolerability and pharmacokinetics of sitagliptin in 10 to 17 year old diabetic patients.",ClinicalTrials.gov,diabetes,"A Study to Assess the Pharmacokinetics, Safety and Tolerability of Sitagliptin in Adolescents (0431-081). Conditions: Type 2 Diabetes. This study will assess the safety, tolerability and pharmacokinetics of sitagliptin in 10 to 17 year old diabetic patients."
NCT07049601,THE Effect of Tight Glycemic Control on Microvascular Complications in Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT07049601,Diabetes Mellitus,"The goal of this clinical trial is to learn the impact of tight versus less tight glycemic control on microvascular complications among Egyptian adults with uncontrolled T2DM. The main question it aims to answer is:

Does tight glycemic control improve or worsens microvascular complications of diabetes compared to less tight glycemic control?

Participants will:

* Be divided to two groups according to their HbA1c group A tight glycemic control and less tight glycemic control.
* Be followed for 6 months with clinical, laboratory, and fundoscopic evaluations performed at baseline and endpoint.",ClinicalTrials.gov,diabetes,"THE Effect of Tight Glycemic Control on Microvascular Complications in Type 2 Diabetes Mellitus. Conditions: Diabetes Mellitus. The goal of this clinical trial is to learn the impact of tight versus less tight glycemic control on microvascular complications among Egyptian adults with uncontrolled T2DM. The main question it aims to answer is:

Does tight glycemic control improve or worsens microvascular complications of diabetes compared to less tight glycemic control?

Participants will:

* Be divided to two groups according to their HbA1c group A tight glycemic control and less tight glycemic control.
* Be followed for 6 months with clinical, laboratory, and fundoscopic evaluations performed at baseline and endpoint."
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT02229227,"Diabetes Mellitus, Type 2","This Phase IIIb, randomized, open-label, parallel group, active control, multicenter, treat to-target study of 26 weeks' treatment duration will evaluate the efficacy and safety of once-weekly albiglutide as replacement of prandial insulin in subjects with type 2 diabetes mellitus (T2DM) failing to achieve adequate glycemic control on their current basal bolus insulin regimen (with or without metformin). Approximately 794 subjects will be randomly assigned in a 1:1 ratio to 1 of 2 treatment groups: albiglutide + insulin glargine (with insulin lispro discontinuation at Week 4) (with or without metformin) or to intensification of insulin glargine + insulin lispro (with or without metformin). The study will comprise 4 study periods : Screening (2 weeks), Standardization (4 weeks), Treatment (26 weeks), and Post treatment Follow up (4 weeks). The total duration of a subject's participation will be approximately 36 weeks.",ClinicalTrials.gov,diabetes,"Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus. Conditions: Diabetes Mellitus, Type 2. This Phase IIIb, randomized, open-label, parallel group, active control, multicenter, treat to-target study of 26 weeks' treatment duration will evaluate the efficacy and safety of once-weekly albiglutide as replacement of prandial insulin in subjects with type 2 diabetes mellitus (T2DM) failing to achieve adequate glycemic control on their current basal bolus insulin regimen (with or without metformin). Approximately 794 subjects will be randomly assigned in a 1:1 ratio to 1 of 2 treatment groups: albiglutide + insulin glargine (with insulin lispro discontinuation at Week 4) (with or without metformin) or to intensification of insulin glargine + insulin lispro (with or without metformin). The study will comprise 4 study periods : Screening (2 weeks), Standardization (4 weeks), Treatment (26 weeks), and Post treatment Follow up (4 weeks). The total duration of a subject's participation will be approximately 36 weeks."
NCT00596661,The TRIMAXX Coronary Stent Trial,https://clinicaltrials.gov/study/NCT00596661,Coronary Artery Disease,The primary objective of the trial is to demonstrate the safety and feasibility of treating coronary artery lesions which have not been previously treated with the TRIMAXX Coronary stent system as compared to the reported results for commercially available non-drug eluting coronary stent systems which are indicated for the same treatments.,ClinicalTrials.gov,cardiovascular disease,The TRIMAXX Coronary Stent Trial. Conditions: Coronary Artery Disease. The primary objective of the trial is to demonstrate the safety and feasibility of treating coronary artery lesions which have not been previously treated with the TRIMAXX Coronary stent system as compared to the reported results for commercially available non-drug eluting coronary stent systems which are indicated for the same treatments.
NCT01994161,Clinical Registration Trial of Intracranial Stenting for Patients With Symptomatic Intracranial Artery Stenosis(CRTICAS),https://clinicaltrials.gov/study/NCT01994161,Ischemic Stroke,"This trial is an prospective, government-funded registration study that will observe the safety and effectiveness of intracranial stenting for preventing stroke during a mean follow-up of 12 months in patients with symptomatic stenosis of a major intracranial artery (MCA, carotid, vertebral, basilar). This trial will be launched by Xuanwu Hospital, Capital University of Medical Science, with 20 collaborators participating. Enrollment will begin in 2013, and it aims to have a sample size of 840 subjects in 2 years. The trial is scheduled to complete in 2015.

As we know, SAMMPRIS is flawed with defect in design, heterogeneity in experience and credentials of operators and high rate of complication; Whether the interventional therapy for symtomatic intracranial artery stenosis is effective or not remained resolved. This trial has been modified based on SAMMPRIS in order to acquire the data for China: Technique, experience, and credential of the operators are closely related with perioperative complications in PTAS. The investigators select 50 large-scale medical centers for participation on the basis of geographical distribution. All the participants are ranked as top in China. They have the most experienced surgeons or interventionist in China, and are fully qualified for this trial. This will guarantee the success and safety of technique, maintain the continuity of operator's experience, and make the complication rate as low as possible.",ClinicalTrials.gov,cardiovascular disease,"Clinical Registration Trial of Intracranial Stenting for Patients With Symptomatic Intracranial Artery Stenosis(CRTICAS). Conditions: Ischemic Stroke. This trial is an prospective, government-funded registration study that will observe the safety and effectiveness of intracranial stenting for preventing stroke during a mean follow-up of 12 months in patients with symptomatic stenosis of a major intracranial artery (MCA, carotid, vertebral, basilar). This trial will be launched by Xuanwu Hospital, Capital University of Medical Science, with 20 collaborators participating. Enrollment will begin in 2013, and it aims to have a sample size of 840 subjects in 2 years. The trial is scheduled to complete in 2015.

As we know, SAMMPRIS is flawed with defect in design, heterogeneity in experience and credentials of operators and high rate of complication; Whether the interventional therapy for symtomatic intracranial artery stenosis is effective or not remained resolved. This trial has been modified based on SAMMPRIS in order to acquire the data for China: Technique, experience, and credential of the operators are closely related with perioperative complications in PTAS. The investigators select 50 large-scale medical centers for participation on the basis of geographical distribution. All the participants are ranked as top in China. They have the most experienced surgeons or interventionist in China, and are fully qualified for this trial. This will guarantee the success and safety of technique, maintain the continuity of operator's experience, and make the complication rate as low as possible."
NCT01328470,Effect of Platelet Inhibition According to Clopidogrel Dose in Patients With Chronic Kidney Disease,https://clinicaltrials.gov/study/NCT01328470,Chronic Kidney Disease; Stable Angina,Impaired renal function is associated with reduced responsiveness to clopidogrel. There are no studies which have shown a means by which to overcome platelet hyporesponsiveness in patients with chronic kidney disease (CKD). The purpose of this study was to determine the functional impact of cilostazol in patients with CKD undergoing hemodialysis.,ClinicalTrials.gov,cardiovascular disease,Effect of Platelet Inhibition According to Clopidogrel Dose in Patients With Chronic Kidney Disease. Conditions: Chronic Kidney Disease; Stable Angina. Impaired renal function is associated with reduced responsiveness to clopidogrel. There are no studies which have shown a means by which to overcome platelet hyporesponsiveness in patients with chronic kidney disease (CKD). The purpose of this study was to determine the functional impact of cilostazol in patients with CKD undergoing hemodialysis.
NCT00839670,Light Constraint Induced Therapy Experiment,https://clinicaltrials.gov/study/NCT00839670,Stroke,The purpose of this trial is to compare the effect of a modified constraint induced therapy to the treatment described originally by Taub et al.. This study will determine if LICITE will lead to similar improvements than the original described method.,ClinicalTrials.gov,cardiovascular disease,Light Constraint Induced Therapy Experiment. Conditions: Stroke. The purpose of this trial is to compare the effect of a modified constraint induced therapy to the treatment described originally by Taub et al.. This study will determine if LICITE will lead to similar improvements than the original described method.
NCT01864369,Canadian e-Platform to Promote Behavioral Self-Management in Chronic Heart Failure: CHF-CePPORT,https://clinicaltrials.gov/study/NCT01864369,Heart Failure,"Chronic Heart Failure (CHF) is a growing public health issue in Canada. Hospital re-admission within 1-year after diagnosis is 25-40%, and the 5-year rate of CHF death is 50%. Counseling by multidisciplinary health care teams helps CHF patients to improve self-care behaviors (for medications, diet, exercise, smoking cessation and symptom monitoring), and this reduces the rate of death and CHF hospitalization. In the absence of intervention, patient adherence to these behaviors is below recommended standards and quality of life among CHF patients becomes progressively compromised. A major challenge is to make self-care counseling available without overtaxing health care resources.

This year multicenter clinical trial will establish and evaluate a Canadian e-platform that provides multidisciplinary e-counseling to help patients with CHF to initiate and maintain recommended self-care behaviors. The investigators will recruit 298 CHF patients in Toronto, Montreal and Vancouver. The investigators hypothesize that a 12-month program of e-Counseling + Usual Care versus general eInfo + Usual Care will improve quality of life, self-care behaviors, program engagement, and heart health. This proposal is based upon previous clinical trials in CHF, e-health and preventive lifestyle counseling by our team. The novel contribution of this research is that it will establish an infrastructure for a pan-Canadian e-platform in preventive e-counseling for CHF. A key feature of this proposal is that our multidisciplinary team will work with professional heart health organizations to share our findings and e-health resources with the public and other health care professionals in Canada, which will help to galvanize research and clinical work in eCounseling. Our clinical trial will strengthen eCounseling services in order to improve the quality of life of patients with CHF.",ClinicalTrials.gov,cardiovascular disease,"Canadian e-Platform to Promote Behavioral Self-Management in Chronic Heart Failure: CHF-CePPORT. Conditions: Heart Failure. Chronic Heart Failure (CHF) is a growing public health issue in Canada. Hospital re-admission within 1-year after diagnosis is 25-40%, and the 5-year rate of CHF death is 50%. Counseling by multidisciplinary health care teams helps CHF patients to improve self-care behaviors (for medications, diet, exercise, smoking cessation and symptom monitoring), and this reduces the rate of death and CHF hospitalization. In the absence of intervention, patient adherence to these behaviors is below recommended standards and quality of life among CHF patients becomes progressively compromised. A major challenge is to make self-care counseling available without overtaxing health care resources.

This year multicenter clinical trial will establish and evaluate a Canadian e-platform that provides multidisciplinary e-counseling to help patients with CHF to initiate and maintain recommended self-care behaviors. The investigators will recruit 298 CHF patients in Toronto, Montreal and Vancouver. The investigators hypothesize that a 12-month program of e-Counseling + Usual Care versus general eInfo + Usual Care will improve quality of life, self-care behaviors, program engagement, and heart health. This proposal is based upon previous clinical trials in CHF, e-health and preventive lifestyle counseling by our team. The novel contribution of this research is that it will establish an infrastructure for a pan-Canadian e-platform in preventive e-counseling for CHF. A key feature of this proposal is that our multidisciplinary team will work with professional heart health organizations to share our findings and e-health resources with the public and other health care professionals in Canada, which will help to galvanize research and clinical work in eCounseling. Our clinical trial will strengthen eCounseling services in order to improve the quality of life of patients with CHF."
